epoch,step,testMeanAbsoluteError_epoch,testMeanAbsoluteError_step,test_loss_epoch,test_loss_step,trainMeanAbsoluteError_epoch,trainMeanAbsoluteError_step,train_loss_epoch,train_loss_step
0,49,,,,,,0.00645853066816926,,5.1827406423399225e-05
0,79,,,,,0.01548643596470356,,0.00016066161333583295,
1,99,,,,,,0.013771690428256989,,0.00027056856197305024
1,149,,,,,,0.0006867896299809217,,6.110311119300604e-07
1,159,,,,,1.107538061262403e-09,,9.351051994599402e-05,
2,199,,,,,,0.010459315963089466,,0.00010947561531793326
2,239,,,,,1.0865356392386616e-09,,9.130124090006575e-05,
3,249,,,,,,0.005199322011321783,,3.8449485145974904e-05
3,299,,,,,,0.00399524811655283,,2.0096360458410345e-05
3,319,,,,,1.1083878259654512e-09,,9.286140993935987e-05,
4,349,,,,,,0.009950969368219376,,0.00011862431711051613
4,399,,,,,,0.012051797471940517,,0.00014599326823372394
4,399,,,,,1.0747157608292923e-09,,8.958661055658013e-05,
5,449,,,,,,0.0009217817569151521,,9.290945399698103e-07
5,479,,,,,1.0503173886178274e-09,,8.632887329440564e-05,
6,499,,,,,,0.01108896266669035,,0.00024176097940653563
6,549,,,,,,0.0028839444275945425,,1.1517976417962927e-05
6,559,,,,,1.0413293560773695e-09,,8.541314309695736e-05,
7,599,,,,,,0.0110596539452672,,0.0001229728222824633
7,639,,,,,1.0776983749849478e-09,,9.029824286699295e-05,
8,649,,,,,,0.005282276775687933,,3.271201785537414e-05
8,699,,,,,,0.002197588561102748,,7.772749086143449e-06
8,719,,,,,1.0333879307822258e-09,,8.440713281743228e-05,
9,749,,,,,,0.010429234243929386,,0.00012500310549512506
9,799,,,,,,0.011492671445012093,,0.000134162517497316
9,799,,,,,1.0279769258048077e-09,,8.389177673961967e-05,
10,849,,,,,,0.0008605156326666474,,8.232156005760771e-07
10,879,,,,,1.0279489481845872e-09,,8.389755384996533e-05,
11,899,,,,,,0.01105798501521349,,0.0002351054281461984
11,949,,,,,,0.002870968310162425,,1.170634732261533e-05
11,959,,,,,1.0280433171416803e-09,,8.391173469135538e-05,
12,999,,,,,,0.010721876285970211,,0.00012178202450741082
12,1039,,,,,1.0280510887028527e-09,,8.392475137952715e-05,
13,1049,,,,,,0.0044333660043776035,,2.400196717644576e-05
13,1099,,,,,,0.0022015755530446768,,7.966375960677397e-06
13,1119,,,,,1.0271844486098303e-09,,8.381785301025957e-05,
14,1149,,,,,,0.010413363575935364,,0.0001245311723323539
14,1199,,,,,,0.011473089456558228,,0.00013381413009483367
14,1199,,,,,1.0270022610114893e-09,,8.379005885217339e-05,
15,1249,,,,,,0.0008822908857837319,,8.424895554526302e-07
15,1279,,,,,1.026943641235789e-09,,8.378578058909625e-05,
16,1299,,,,,,0.011066297069191933,,0.00023414693714585155
16,1349,,,,,,0.002874259604141116,,1.1783077752625104e-05
16,1359,,,,,1.0268584871298003e-09,,8.377798803849146e-05,
17,1399,,,,,,0.01068137027323246,,0.00012098741717636585
17,1439,,,,,1.0267529049201585e-09,,8.37689294712618e-05,
18,1449,,,,,,0.004433153662830591,,2.388500070082955e-05
18,1499,,,,,,0.0021889961790293455,,7.931123036541976e-06
18,1519,,,,,1.0266191230456911e-09,,8.375709876418114e-05,
19,1549,,,,,,0.010403722524642944,,0.00012422048894222826
19,1599,,,,,,0.011444447562098503,,0.00013319226854946464
19,1599,,,,,1.0264608052423796e-09,,8.374254684895277e-05,
20,1649,,,,,,0.0008801888907328248,,8.434210485575022e-07
20,1679,,,,,1.0262778404879214e-09,,8.372558659175411e-05,
21,1699,,,,,,0.011048378422856331,,0.0002337037440156564
21,1749,,,,,,0.002879820531234145,,1.1830377843580209e-05
21,1759,,,,,1.0260741145629027e-09,,8.370629802811891e-05,
22,1799,,,,,,0.010679300874471664,,0.00012105576752219349
22,1839,,,,,1.0254270765841511e-09,,8.363663800992072e-05,
23,1849,,,,,,0.004420027602463961,,2.3710847017355263e-05
23,1899,,,,,,0.0021609344985336065,,7.823313353583217e-06
23,1919,,,,,1.0250977844350473e-09,,8.360452920896932e-05,
24,1949,,,,,,0.010394283570349216,,0.00012381630949676037
24,1999,,,,,,0.01140675600618124,,0.00013237560051493347
24,1999,,,,,1.0249201487511073e-09,,8.358786726603284e-05,
25,2049,,,,,,0.0009071665117517114,,8.885122042556759e-07
25,2079,,,,,1.0247264148333102e-09,,8.356931357411668e-05,
26,2099,,,,,,0.011046011000871658,,0.00023337549646385014
26,2149,,,,,,0.0028873931150883436,,1.1897802323801443e-05
26,2159,,,,,1.0245212456183594e-09,,8.354926103493199e-05,
27,2199,,,,,,0.010668796487152576,,0.00012086034257663414
27,2239,,,,,1.0242919845637743e-09,,8.352693112101406e-05,
28,2249,,,,,,0.004418277647346258,,2.3632366719539277e-05
28,2299,,,,,,0.002141372999176383,,7.770882803015411e-06
28,2319,,,,,1.0240543968365046e-09,,8.350352436536923e-05,
29,2349,,,,,,0.010381811298429966,,0.0001234243536600843
29,2399,,,,,,0.011379922740161419,,0.00013182449038140476
29,2399,,,,,1.023802709276822e-09,,8.347876428160816e-05,
30,2449,,,,,,0.0009188387775793672,,9.058258569893951e-07
30,2479,,,,,1.023546580825041e-09,,8.345324022229761e-05,
31,2499,,,,,,0.011040017940104008,,0.00023289919772651047
31,2549,,,,,,0.0028890033718198538,,1.193232492369134e-05
31,2559,,,,,1.0232773517415694e-09,,8.342666842509061e-05,
32,2599,,,,,,0.010652623139321804,,0.00012053414684487507
32,2639,,,,,1.0229999070077156e-09,,8.339893975062296e-05,
33,2649,,,,,,0.004413511138409376,,2.3496299036196433e-05
33,2699,,,,,,0.0021199097391217947,,7.715512765571475e-06
33,2719,,,,,1.0227094726644737e-09,,8.337014878634363e-05,
34,2749,,,,,,0.010367796756327152,,0.0001229820481967181
